tfm_id,tfm_desc,site_desc,longitude,latitude,tfm_typ_de,movement_t,declared_r,local_road,aadt_all_vehicles,aadt_truck,percent_trucks,last_year
53417,WAVERLEY ST SB BTW PARK ST & BUCKLEY ST,WAVERLEY ST BTW PARK ST & BUCKLEY ST,144.90675405652715,-37.75884388850045,MIDBLOCK,All Moves,WAVERLEY STREET,WAVERLEY STREET,9200,500,0.05,1991
38598,BURGUNDY ST E BD E OF UPPER HEIDELBERG RD,UPPER HEIDELBERG RD N OF BELL ST,145.0590711152829,-37.755072339557415,UNDEFINED,All Moves,Missing Data,BURGUNDY STREET,7500,370,0.05,1992
38919,CHAPEL ST SEBD SE OF MCCRAE ST (MIDLAND,MCCRAE ST (MIDLAND NNE OF CHAPEL ST,144.28492470941987,-36.75612629466956,INTERSECTION,All Moves,MCIVOR HIGHWAY,CHAPEL STREET,6900,200,0.03,1999
44136,KINGSTON RD W BD E OF OLD_DANDENONG RD,KINGSTON RD E OF OLD_DANDENONG RD,145.10234220821883,-37.95623862145918,UNDEFINED,All Moves,HEATHERTON ROAD,KINGSTON ROAD,11000,0,0.0,1988
40830,WESTERN HWY 5 PARKING BAY 434KM W BD TOLMER,WESTERN HWY 5 PARKING BAY 434KM TOLMER,140.99289271686928,-36.34764792336155,MIDBLOCK,Entrance Carpark Busin Area,WESTERN HIGHWAY,WESTERN HIGHWAY,730,340,0.47,1992
41582,STATION ST S BD N OF BAY RD,STATION ST N OF BAY RD,145.00403730107377,-37.95158200341266,UNDEFINED,All Moves,Missing Data,STATION STREET,3400,0,0.0,1988
46989,RIVERSDALE RD W OF HIGHFIELD RD,RIVERSDALE RD/HIGHFIELD RD,145.0853723049796,-37.8344955990405,INTERSECTION,All Moves,RIVERSDALE ROAD,RIVERSDALE ROAD,9800,0,0.0,2005
44954,WARRNAMBOOL-CARAMUT RD S BD N OF MAILORS FLAT-KOROIT RD @ 10.4KM FROM WARRNAMBOO,WARRNAMBOOL-CARAMUT RD N OF MAILORS FLAT-KOROIT RD @ 10.4KM FROM WARRNAMBOO,142.46856401751452,-38.299345228948454,MIDBLOCK,All Moves,Missing Data,MCCOSHS ROAD,1000,130,0.13,2013
46663,MALVERN RD W OF WILLIAMS RD,MALVERN RD/WILLIAMS RD,145.00286442590044,-37.8480585202304,INTERSECTION,All Moves,MALVERN ROAD,MALVERN ROAD,9300,0,0.0,2009
55238,PRINCES FWY NEB BTW WERRIBEE RIVER & METRO FARM RD (WERRIBEE),PRINCES FWY NBTW WERRIBEE RIVER & METRO FARM RD (WERRIBEE),144.66052647200732,-37.9188168544539,MIDBLOCK,All Moves,PRINCES FREEWAY WEST,PRINCES FREEWAY,12000,2200,0.18,1992
44547,GRAMPIANS RD N BD 300M S OF BRIMPAEN-LAHARUM RD @ 40.3KM FROM HORSHAM,GRAMPIANS RD 300M S OF BRIMPAEN-LAHARUM RD @ 40.3KM FROM HORSHAM,142.32811144794053,-36.99234589270284,MIDBLOCK,All Moves,NORTHERN GRAMPIANS ROAD,NORTHERN GRAMPIANS ROAD,70,0,0.06,2007
44370,STATION RD S of WESTERN HWY,STATION RD & WESTERN HWY,144.77468917036632,-37.770415589027614,INTERSECTION,All Moves,KEILOR-LAVERTON ROAD,STATION ROAD,8300,300,0.04,1997
40219,LOWER DANDENONG RD W BD W OF BOUNDARY RD,LOWER DANDENONG RD W OF BOUNDARY RD,145.11189379666283,-37.98694059042953,UNDEFINED,All Moves,STATE (LOWER DANDENONG/CHELTENHAM) HIGHWAY,LOWER DANDENONG ROAD,14000,0,0.0,1988
43930,FAIRBANK_RD E OF CLAYTON_RD,CLAYTON RD/FAIRBANK RD,145.1185355991158,-37.94059207856342,INTERSECTION,All Moves,Missing Data,FAIRBANK ROAD,3600,0,0.0,2003
38154,SETTLEMENT RD W OF SURF COAST HWY,SETTLEMENT RD & SURF COAST HWY,144.3441317869331,-38.1823253466943,INTERSECTION,All Moves,CORIO-WAURN PONDS ROAD,SETTLEMENT ROAD,7700,470,0.06,1999
54064,SETTLEMENT RD EB BTW GREEN ST & APEX CRT,SETTLEMENT RD BTW GREEN ST & APEX CRT,145.0362637088353,-37.694137037788394,MIDBLOCK,All Moves,CAMPBELLFIELD-GREENSBOROUGH ROAD,SETTLEMENT ROAD,13000,1100,0.08,1997
40464,HUME FWY N BD S OF GOULBURN VALLEY HWY,HUME FWY S OF GOULBURN VALLEY HWY,145.13390180042015,-36.98328067081153,MIDBLOCK,All Moves,HUME FREEWAY,HUME FREEWAY,5500,1800,0.33,1994
46009,THOMPSONS RD 2WAY W OF FRANKSTON-DANDENONG RD,THOMPSONS RD 2WAY W OF FRANKSTON-DANDENONG RD,145.19521633100163,-38.07179657013193,UNDEFINED,All Moves,DANDENONG VALLEY HIGHWAY,FRANKSTON-DANDENONG ROAD,9500,0,0.0,1990
38560,BOTTLESHOP ENTRANC E of TORQUAY RD,PIONEER RD & TORQUAY RD,144.34084123669064,-38.203108199870016,INTERSECTION,All Moves,SURFCOAST HIGHWAY,SURF COAST HIGHWAY,420,0,0.0,1991
