Model,from_site,to_site,road_name,distance_km,predicted_flow,speed_kmh,travel_time
LSTM,3662,3001,HIGH_ST,0.7829,1807.9849093971632,32.0,1.9679375000000001
CNN,3662,4335,HIGH_ST,0.7009,1781.021144163524,32.0,1.8141874999999998
GRU,3662,4335,HIGH_ST,0.7009,1807.4414985061537,32.0,1.8141874999999998
LSTM,3662,4335,HIGH_ST,0.7009,1807.9849093971632,32.0,1.8141874999999998
CNN,4335,3662,HIGH_ST,0.7009,972.8842337858592,50.969564124377065,1.325080628458562
GRU,4335,3662,HIGH_ST,0.7009,1000.3149628875949,50.46938869233996,1.333257566410405
LSTM,4335,3662,HIGH_ST,0.7009,1026.5248874751774,49.97847815631083,1.3414421877447622
CNN,4335,4321,HIGH_ST,1.3941,972.8842337858592,50.969564124377065,2.1410970240178075
GRU,4335,4321,HIGH_ST,1.3941,1000.3149628875949,50.46938869233996,2.1573610691007925
LSTM,4335,4321,HIGH_ST,1.3941,1026.5248874751774,49.97847815631083,2.173640396540124
CNN,4321,4335,HIGH_ST,1.3941,1126.448200415212,47.96907517202803,2.2437484400111196
GRU,4321,4335,HIGH_ST,1.3941,1157.0397717360909,47.30122595833948,2.268368542364444
LSTM,4321,4335,HIGH_ST,1.3941,1181.6479229007093,46.74206061918694,2.2895231594831427
CNN,4321,4030,HIGH_ST,1.1704,1126.448200415212,47.96907517202803,1.9639431706398496
GRU,4321,4030,HIGH_ST,1.1704,1157.0397717360909,47.30122595833948,1.984612683439743
LSTM,4321,4030,HIGH_ST,1.1704,1181.6479229007093,46.74206061918694,2.0023727895122807
CNN,4030,4321,HIGH_ST,1.1704,1050.8480511388034,49.5105986121523,1.9183629761802885
GRU,4030,4321,HIGH_ST,1.1704,1091.553966576326,48.69827811933198,1.9420222379920835
LSTM,4030,4321,HIGH_ST,1.1704,1119.7260074539008,48.11211900748844,1.9595906696412593
CNN,4263,3002,POWER_ST,0.8314,1758.9175749516141,32.0,2.058875
GRU,4263,3002,POWER_ST,0.8314,1778.7176494874816,32.0,2.058875
LSTM,4263,3002,POWER_ST,0.8314,1787.6529838985507,32.0,2.058875
CNN,3002,4263,POWER_ST,0.8314,1830.9458576699963,32.0,2.058875
GRU,3002,4263,POWER_ST,0.8314,1857.2133038838704,32.0,2.058875
LSTM,3002,4263,POWER_ST,0.8314,1863.8095272028984,32.0,2.058875
CNN,3662,2820,PRINCESS_ST,1.5687,1781.021144163524,32.0,3.4413125
GRU,3662,2820,PRINCESS_ST,1.5687,1807.4414985061537,32.0,3.4413125
LSTM,3662,2820,PRINCESS_ST,1.5687,1807.9849093971632,32.0,3.4413125
CNN,2820,3662,PRINCESS_ST,1.5687,876.0101190526435,52.63921248643131,2.2880586649023598
GRU,2820,3662,PRINCESS_ST,1.5687,901.5041888622527,52.21319223683802,2.3026478743736725
LSTM,2820,3662,PRINCESS_ST,1.5687,925.0221972411348,51.81207157307682,2.316603682160216
CNN,4270,4272,RIVERSDALE_RD,1.1826,1522.5855760236159,32.0,2.717375
GRU,4270,4272,RIVERSDALE_RD,1.1826,1548.4933364814055,32.0,2.717375
LSTM,4270,4272,RIVERSDALE_RD,1.1826,1553.467933567376,32.0,2.717375
CNN,4272,4270,RIVERSDALE_RD,1.1826,1048.3159789768517,49.55988681678982,1.9317223980415072
GRU,4272,4270,RIVERSDALE_RD,1.1826,1077.0445446257895,48.992280331632784,1.9483098055386072
LSTM,4272,4270,RIVERSDALE_RD,1.1826,1101.6933810496453,48.489713516920446,1.9633206685215818
CNN,4272,4040,RIVERSDALE_RD,0.8221,1048.3159789768517,49.55988681678982,1.4952807233467977
GRU,4272,4040,RIVERSDALE_RD,0.8221,1077.0445446257895,48.992280331632784,1.5068116786176975
LSTM,4272,4040,RIVERSDALE_RD,0.8221,1101.6933810496453,48.489713516920446,1.5172466781596419
CNN,4040,4272,RIVERSDALE_RD,0.8221,1741.3874120238825,32.0,2.0414375
GRU,4040,4272,RIVERSDALE_RD,0.8221,1766.7884282051248,32.0,2.0414375
LSTM,4040,4272,RIVERSDALE_RD,0.8221,1765.569069822695,32.0,2.0414375
CNN,4040,3804,RIVERSDALE_RD,0.604,1741.3874120238825,32.0,1.6325
GRU,4040,3804,RIVERSDALE_RD,0.604,1766.7884282051248,32.0,1.6325
LSTM,4040,3804,RIVERSDALE_RD,0.604,1765.569069822695,32.0,1.6325
CNN,3804,4040,RIVERSDALE_RD,0.604,1561.462717313293,32.0,1.6325
GRU,3804,4040,RIVERSDALE_RD,0.604,1598.4958676006777,32.0,1.6325
LSTM,3804,4040,RIVERSDALE_RD,0.604,1603.8990252269505,32.0,1.6325
CNN,3804,3682,RIVERSDALE_RD,3.0738,1561.462717313293,32.0,6.263375
GRU,3804,3682,RIVERSDALE_RD,3.0738,1598.4958676006777,32.0,6.263375
LSTM,3804,3682,RIVERSDALE_RD,3.0738,1603.8990252269505,32.0,6.263375
CNN,3682,3804,RIVERSDALE_RD,3.0738,1587.9323473991233,32.0,6.263375
GRU,3682,3804,RIVERSDALE_RD,3.0738,1624.936791819038,32.0,6.263375
LSTM,3682,3804,RIVERSDALE_RD,3.0738,1629.9125021631205,32.0,6.263375
CNN,4273,4043,TOORAK_RD,0.7038,938.2511012571077,51.58283044425604,1.3186444915161157
GRU,4273,4043,TOORAK_RD,0.7038,960.4666017843476,51.191703064481246,1.324899299537065
LSTM,4273,4043,TOORAK_RD,0.7038,982.689129929078,50.79230925942177,1.3313857081063285
